close,date,high,low,mcap,open,volume
6639.14,2018-07-05,6749.54,6546.65,113748385620.0,6599.71,4999240192.0
6597.55,2018-07-04,6771.92,6450.46,113024522547.0,6550.87,4176689920.0
6529.59,2018-07-03,6671.37,6447.75,111849428104.0,6596.66,4672309760.0
6614.18,2018-07-02,6683.86,6305.7,113288832522.0,6380.38,4396930048.0
6385.82,2018-07-01,6432.85,6289.29,109366024632.0,6411.68,4788259840.0
6404.0,2018-06-30,6465.51,6214.22,109665618200.0,6214.22,4543860224.0
6218.3,2018-06-29,6261.66,5835.75,106474707240.0,5898.13,3966230016.0
5903.44,2018-06-28,6170.41,5873.05,101072353482.0,6153.16,3467800064.0
6157.13,2018-06-27,6180.0,6052.85,105403600614.0,6084.4,3296219904.0
6093.67,2018-06-26,6290.16,6093.67,104307939200.0,6253.55,3279759872.0
6249.18,2018-06-25,6327.37,6119.68,106958465208.0,6171.97,5500810240.0
6173.23,2018-06-24,6223.78,5826.41,105646571668.0,6164.28,4566909952.0
6162.48,2018-06-23,6224.82,6071.81,105449276520.0,6090.1,3431360000.0
6083.69,2018-06-22,6747.08,6006.6,104088814967.0,6737.88,5079810048.0
6729.74,2018-06-21,6810.94,6715.17,115129700024.0,6780.09,3529129984.0
6776.55,2018-06-20,6821.56,6611.88,115916357344.0,6770.76,3888640000.0
6769.94,2018-06-19,6822.5,6709.92,115789919278.0,6742.39,4057029888.0
6734.82,2018-06-18,6781.14,6446.68,115176197712.0,6510.07,4039200000.0
6499.27,2018-06-17,6589.11,6499.27,111134754810.0,6545.53,3104019968.0
6550.16,2018-06-16,6592.49,6402.29,111992015616.0,6455.45,3194170112.0
6456.58,2018-06-15,6681.08,6433.87,110378702283.0,6674.08,3955389952.0
6675.35,2018-06-14,6707.14,6334.46,114106009748.0,6342.75,5138710016.0
6349.9,2018-06-13,6631.66,6285.63,108530585830.0,6596.88,5052349952.0
6582.36,2018-06-12,6907.96,6542.08,112491874164.0,6905.82,4654380032.0
6906.92,2018-06-11,6910.18,6706.63,118025877189.0,6799.29,4745269760.0
6786.02,2018-06-10,7499.55,6709.07,115948312827.0,7499.55,5804839936.0
7531.98,2018-06-09,7683.58,7531.98,128682085689.0,7632.52,3845220096.0
7624.92,2018-06-08,7698.19,7558.4,130256218613.0,7685.14,4227579904.0
7678.24,2018-06-07,7741.27,7650.82,131153169176.0,7650.82,4485799936.0
7653.98,2018-06-06,7680.43,7502.01,130725095161.0,7625.97,4692259840.0
7633.76,2018-06-05,7643.23,7397.0,130365918088.0,7500.9,4961739776.0
7514.47,2018-06-04,7753.82,7474.04,128312205314.0,7722.53,4993169920.0
7720.25,2018-06-03,7754.89,7613.04,131808021256.0,7632.09,4851760128.0
7643.45,2018-06-02,7695.83,7497.26,130481526036.0,7536.72,4939299840.0
7541.45,2018-06-01,7604.73,7407.34,128725854692.0,7500.7,4921460224.0
7494.17,2018-05-31,7608.9,7361.13,127902999390.0,7406.15,5127130112.0
7406.52,2018-05-30,7573.77,7313.6,126391893474.0,7469.73,4922540032.0
7472.59,2018-05-29,7526.42,7090.68,127502651064.0,7129.46,5662660096.0
7135.99,2018-05-28,7419.05,7100.89,121747389422.0,7371.31,5040600064.0
7368.22,2018-05-27,7381.74,7270.96,125695017596.0,7362.08,4056519936.0
7355.88,2018-05-26,7595.16,7349.12,125469061263.0,7486.48,4051539968.0
7480.14,2018-05-25,7659.14,7392.65,127573690458.0,7592.3,4867829760.0
7587.34,2018-05-24,7738.6,7331.14,129385391552.0,7561.12,6049220096.0
7557.82,2018-05-23,8054.66,7507.88,128868479514.0,8037.08,6491120128.0
8041.78,2018-05-22,8423.25,8004.58,137104106176.0,8419.87,5137010176.0
8418.99,2018-05-21,8557.52,8365.12,143518943480.0,8522.33,5154990080.0
8513.25,2018-05-20,8562.41,8205.24,145109512565.0,8246.99,5191059968.0
8247.18,2018-05-19,8372.06,8183.35,140559162894.0,8255.73,4712399872.0
8250.97,2018-05-18,8274.12,7974.82,140607667610.0,8091.83,5764190208.0
8094.32,2018-05-17,8445.54,8054.12,137923772714.0,8370.05,5862530048.0
8368.83,2018-05-16,8508.43,8175.49,142587497878.0,8504.41,6760220160.0
8510.38,2018-05-15,8836.19,8456.45,144979744412.0,8705.19,6705710080.0
8716.79,2018-05-14,8881.12,8367.97,148480275422.0,8713.1,7364149760.0
8723.94,2018-05-13,8773.55,8395.12,148587777457.0,8515.49,5866379776.0
8504.89,2018-05-12,8664.86,8223.5,144841040789.0,8441.44,6821380096.0
8441.49,2018-05-11,9052.96,8394.46,143743802092.0,9052.96,8488520192.0
9043.94,2018-05-10,9396.04,9040.52,153988453198.0,9325.96,6906699776.0
9325.18,2018-05-09,9374.76,9031.62,158758858205.0,9223.73,7226890240.0
9234.82,2018-05-08,9462.75,9127.77,157202142973.0,9380.87,7415869952.0
9373.01,2018-05-07,9665.85,9231.53,159538115686.0,9645.67,7394019840.0
9654.8,2018-05-06,9940.14,9465.25,164316605278.0,9845.31,7222280192.0
9858.15,2018-05-05,9964.5,9695.12,167759953654.0,9700.28,7651939840.0
9700.76,2018-05-04,9779.2,9585.96,165062796742.0,9695.5,8217829888.0
9743.86,2018-05-03,9798.33,9188.15,165778380092.0,9233.97,10207299584.0
9235.92,2018-05-02,9256.52,9015.14,157119854754.0,9104.6,7558159872.0
9119.01,2018-05-01,9255.88,8891.05,155114132125.0,9251.47,7713019904.0
9240.55,2018-04-30,9477.14,9166.81,157163847314.0,9426.11,8673920000.0
9419.08,2018-04-29,9531.49,9193.71,160182287342.0,9346.41,8853000192.0
9348.48,2018-04-28,9412.09,8931.99,158963068374.0,8939.27,7805479936.0
8987.05,2018-04-27,9375.47,8987.05,152802874822.0,9290.63,7566289920.0
9281.51,2018-04-26,9281.51,8727.09,157793327246.0,8867.32,8970559488.0
8845.74,2018-04-25,9745.32,8799.84,150369282696.0,9701.03,11083100160.0
9697.5,2018-04-24,9732.61,8927.83,164833256250.0,8934.34,10678800384.0
8930.88,2018-04-23,8958.55,8788.81,151784994312.0,8794.39,6925190144.0
8802.46,2018-04-22,9001.64,8779.61,149585589886.0,8925.06,6629899776.0
8895.58,2018-04-21,8997.57,8652.15,151150137128.0,8848.79,7548550144.0
8845.83,2018-04-20,8880.23,8244.54,150287113368.0,8286.88,8438110208.0
8294.31,2018-04-19,8298.69,8138.78,140902801023.0,8159.27,7063209984.0
8163.42,2018-04-18,8197.8,7886.01,138661092884.0,7944.43,6529909760.0
7902.09,2018-04-17,8285.96,7881.72,134206623206.0,8071.66,6900879872.0
8058.67,2018-04-16,8371.15,7925.73,136849408643.0,8337.57,5631309824.0
8329.11,2018-04-15,8338.42,7999.33,141427138383.0,7999.33,5244480000.0
7986.24,2018-04-14,8140.71,7846.0,135589384440.0,7874.67,5191430144.0
